"datetime","ILWR","ISWR","P","PINT","RH","TA","VW","TAMIN","TAMAX"
1980-01-01,230,79.1,73251.3,5.3e-05,25.6,271.4,6.3,270.1,273.6
1980-01-02,274.7,37.2,73203.7,0.000263,64,275.4,2.1,273.4,273.8
1980-01-03,218.9,79.4,73584.7,3.6e-05,23.5,269.2,4.7,269.3,268.4
1980-01-04,264.4,58.7,73756.4,0.000416,80.9,268.6,1.2,269.6,267.7
1980-01-05,259.4,63.4,73981.9,5.7e-05,86.8,268.2,1.9,268.3,267.5
1980-01-06,190.9,85.9,74450.4,0,85,262.7,1.6,262.5,265.3
1980-01-07,186.2,90.7,74484.2,0,60,263.4,1.9,264.2,264.1
1980-01-08,201.1,86.2,74366.5,0,59.8,267.3,2.9,268,266.8
1980-01-09,200.4,86.1,73948.1,0,33,269.8,4.3,270.6,269.3
1980-01-10,238.9,76.1,73387.6,0.000119,71.8,268.2,5.5,267.5,268.2
1980-01-11,215.8,89.4,73127.2,1.8e-05,68,264.2,3.5,265.1,262.5
1980-01-12,212.2,81.6,73040.6,3e-06,71.1,263.6,5.9,265.1,261.9
1980-01-13,224,82.8,72233,9.6e-05,41.2,265.3,2.5,266.6,264.1
1980-01-14,234.8,84.8,72345.9,8e-05,70.4,265.1,2,266.6,263.1
1980-01-15,224.3,77.8,73218.5,1.2e-05,82.9,264.1,1.7,265.2,261.8
1980-01-16,228.6,59.5,73351.5,9e-05,68.1,265.9,9.2,264.2,266.8
1980-01-17,226.4,28.6,72995.3,7.5e-05,68.5,264.9,12.7,265.1,264.7
1980-01-18,238.3,63.3,72785.1,7.2e-05,83.9,265.1,11.2,266.2,264.1
1980-01-19,246.1,76.8,72963.9,0.000119,84.9,266.3,13.5,266.6,266.3
1980-01-20,225.5,87.1,72985.3,9.4e-05,74.8,264.7,16.7,266.4,263.5
1980-01-21,235.6,88.8,72985.1,0.000104,65.9,266.7,13,266.8,267.2
1980-01-22,239.7,90.9,72625.5,0.000132,65.8,267.6,5.9,267.2,268
1980-01-23,214.1,103.9,72602.5,7.1e-05,53.1,264.8,5.8,264.4,264.8
1980-01-24,200.3,114.1,73023.9,1.6e-05,49.8,261.2,4,260.6,261
1980-01-25,213.3,103.8,73323.8,3e-05,78.2,261.7,4.7,262.6,260.9
1980-01-26,239,93.9,73548.1,9.1e-05,88.9,265,9.2,266.2,265
1980-01-27,272.4,60.9,73658.2,8.8e-05,94.1,268.7,12.3,269.2,268.3
1980-01-28,281.2,51.9,73512.4,0.00012,92.4,272.2,10.4,272.6,270.6
1980-01-29,267.7,80.3,73077.8,0.000244,87.7,269.5,5,269.7,269
