"datetime","ILWR","ISWR","P","PINT","RH","TA","VW","TAMIN","TAMAX"
1980-01-01,209.1,80.3,74063.6,1e-06,56.5,268,4.9,268.7,266.6
1980-01-02,207.3,80.5,74063.8,6e-06,56.6,266.8,3.6,263.3,266.6
1980-01-03,192.6,93.7,74102.7,0,31.1,265.4,1.9,262.1,268.3
1980-01-04,204.5,87.4,74348.5,0,49.4,269.2,4.9,268.6,268.9
1980-01-05,218.6,56.3,74771.9,1.2e-05,41.2,275,3.3,273.2,276.7
1980-01-06,215.9,62.8,75123.7,1.5e-05,48,275.7,3.9,276.7,273.8
1980-01-07,206.5,88.3,75292.8,0,29.8,274.3,5,275.3,274.2
1980-01-08,224.8,68.3,75291,5.5e-05,59.9,275.6,2.5,275.7,273.9
1980-01-09,250.5,69.7,75222.5,8.2e-05,73.4,273.9,2.4,273.8,272.6
1980-01-10,239.3,70.6,75208.4,2.1e-05,79.8,271.5,2.2,270.4,271.4
1980-01-11,197.1,86.5,75133.5,0,73.5,266.8,2.6,265,267.2
1980-01-12,233.2,61.5,75001.6,6e-06,89.3,265.8,4.6,264.2,267.4
1980-01-13,191.2,90.8,74975.4,0,67.7,262.8,2.1,260.9,264.9
1980-01-14,168.3,95.6,75095.2,0,51.6,256.9,3.3,259.6,256
1980-01-15,189.6,108.9,75028.5,0,24.1,265.1,4.9,262.8,266.9
1980-01-16,240.3,71.5,74399.4,1.6e-05,57.5,269.9,8,268.8,268.8
1980-01-17,228.2,81.9,73935.1,1.6e-05,67.5,266.8,8,267.8,265.1
1980-01-18,238.5,88.1,73585.6,3.5e-05,69.1,266.8,8.6,267.8,267.8
1980-01-19,281,51.5,73274.1,0.000194,96.4,272,14.4,272.9,271.6
1980-01-20,307.1,34.7,73799.9,7e-05,97.3,275.7,14.3,276.5,273.8
1980-01-21,242,57.2,74614.6,0,77.7,273.8,11.2,272.3,273.3
1980-01-22,201.1,100.2,74913.3,3e-06,36.3,270.7,5.4,271.1,273.2
1980-01-23,224.4,112.8,75217.7,1e-06,71.1,270.9,5.5,271.1,272.2
1980-01-24,296.5,43.9,74824.2,2.2e-05,93.7,276.5,11.9,276,276.4
1980-01-25,276.2,59.2,74083.8,0.000139,95.3,273.1,12.7,269.2,275.4
1980-01-26,223.3,87.4,74046.2,2.6e-05,61.2,264.8,10.5,266.3,264.2
1980-01-27,225.3,83.2,74088.6,6.5e-05,76.9,264.5,10.4,266,262.9
1980-01-28,231.5,87.9,74584.2,5.1e-05,87.2,264.6,8.4,266.1,265.3
1980-01-29,269,71.3,74164.9,0.000434,95.7,269.2,12.8,270.2,268.6
1980-01-30,273.5,57.2,73928.6,0.000362,95.4,271.3,18.2,272.4,269
1980-01-31,224.8,76.2,73535.4,0.000106,76.2,266.6,13.2,265.9,267.7
1980-02-01,195,118.4,73825.4,8.5e-05,84.7,260.2,9.9,262.9,257.7
1980-02-02,198.2,129.1,74543.1,2.6e-05,75.9,259.3,9,262.5,257.2
1980-02-03,189.2,141.3,74995.5,0,28.2,261.8,7.4,262.1,264.7
1980-02-04,261.8,71.5,75184.4,6e-06,93.5,269.5,8.7,271.3,268.3
1980-02-05,266.9,55.5,74722.9,9.3e-05,93.9,271.5,8.7,270.8,269.2
1980-02-06,258.9,74.8,74735.7,8.1e-05,93.4,268.4,4.4,269.9,266.5
1980-02-07,265.8,69.2,74605.6,0.000176,95.9,270,5.9,272.3,267.6
1980-02-08,256.8,123.4,74280.4,0.000103,90,270.3,8.3,270.7,268.5
1980-02-09,216.9,127.6,73005.1,3.5e-05,68.5,264.1,11.3,265.6,263.9
1980-02-10,210.6,133.9,72316.9,5.2e-05,74.9,262.3,5.4,263.5,260.2
1980-02-11,170.8,150.8,72668.1,2e-06,34.5,257.9,2,258.9,256.3
1980-02-12,169.9,159.5,73391.8,0,36,254.8,3.1,253.7,255.7
1980-02-13,170.8,153.2,73827.8,0,37.5,258,1.4,255.6,256.1
1980-02-14,161,162.3,73911.3,2e-06,20.5,256,2.4,255.1,261.7
1980-02-15,229.3,116.3,73358.6,5.2e-05,69.6,267.8,7.4,267.7,268.5
1980-02-16,234.6,121,72900.6,3.7e-05,73.3,269.4,9.1,269.4,269.3
1980-02-17,224.5,116.3,73927.2,4.5e-05,85.4,265.4,9,265.2,263.4
1980-02-18,208.9,115.5,74893.9,0,62,261.7,3.1,259.3,267.9
1980-02-19,250.3,133.1,74822,6.4e-05,89,270.2,4.1,270.3,271.7
1980-02-20,258.7,116.2,74589.7,0.000209,92.6,271,0.7,272.2,268.7
1980-02-21,248.7,123.5,74517.5,6.6e-05,85.7,268.7,3.6,268.9,266.1
1980-02-22,197,154,74377.6,0,55.5,266.4,1.7,267.6,265.5
1980-02-23,199.5,155.1,74055.4,0,33.9,267.8,2,268.3,267.4
1980-02-24,221.6,128.3,74590.7,1.7e-05,66.3,269.4,1.6,268.1,271.7
1980-02-25,222.9,124.7,75208.4,1e-06,81.7,271.2,2.7,272.1,271.5
1980-02-26,264.6,98.9,75222.2,6.2e-05,91.7,273.5,4.8,273.7,271.7
1980-02-27,268.4,82.4,75055.9,5.1e-05,95.4,273.8,3.6,273.9,270.8
1980-02-28,254.8,117.9,74675.8,2.3e-05,92.7,271.6,0.7,272.2,270.2
1980-02-29,257.1,119.3,74466.1,9e-05,89.7,272.8,2.8,273.4,270.3
1980-03-01,247.8,162.4,74384.7,0.000146,88.9,268.3,3.2,267.5,267.2
1980-03-02,183.2,205.9,74819.6,3e-06,55.3,260.5,1.5,260.2,260.5
