datetime,ISWR,ILWR,Sf,Rf,TA,RH,VW,P,TAMAX,TAMIN,Pr
1979-10-01,205.090676,245.821939,0.000000,0.000000,276.603048,43.448482,3.521644,75063.421145,276.603048,276.603048,0.000000
1979-10-02,206.440801,226.340291,0.000000,0.000000,276.652401,33.781463,2.432033,75097.964191,276.652401,276.652401,0.000000
1979-10-03,182.805619,265.645727,0.000000,0.000001,276.386247,59.569763,2.499480,75108.114634,276.386247,276.386247,0.000001
1979-10-04,185.105508,270.281441,0.000000,0.000000,277.791774,59.793469,2.718111,74791.229865,277.791774,277.791774,0.000000
1979-10-05,109.963924,302.326761,0.000003,0.000080,274.665797,90.331482,4.784718,74321.551646,274.665797,274.665797,0.000083
1979-10-06,114.746809,300.772970,0.000004,0.000018,275.112364,84.129949,3.384036,74462.475475,275.112364,275.112364,0.000022
1979-10-07,143.992741,277.402479,0.000000,0.000001,276.320089,66.195884,1.388584,75044.462228,276.320089,276.320089,0.000001
1979-10-08,183.136216,257.023135,0.000000,0.000000,278.761955,55.016664,1.683491,75296.824268,278.761955,278.761955,0.000000
1979-10-09,181.537817,264.712550,0.000000,0.000000,280.266754,61.681718,1.695930,75241.592989,280.266754,280.266754,0.000000
1979-10-10,177.475319,268.855339,0.000000,0.000000,280.741559,53.396045,5.848084,74965.027131,280.741559,280.741559,0.000000
1979-10-11,70.789131,317.147586,0.000000,0.000115,277.335251,87.804164,10.895079,74494.422280,277.335251,277.335251,0.000115
1979-10-12,138.051336,285.330637,0.000001,0.000014,274.626852,86.712326,11.651424,74151.804405,274.626852,274.626852,0.000015
1979-10-13,87.931247,300.898815,0.000000,0.000082,275.386222,89.325912,10.362415,73770.242428,275.386222,275.386222,0.000082
1979-10-14,53.036295,318.273907,0.000000,0.000280,276.125493,92.387933,15.412498,73854.768803,276.125493,276.125493,0.000280
1979-10-15,103.956998,289.524354,0.000019,0.000349,273.901043,91.127196,10.430646,73688.454034,273.901043,273.901043,0.000369
1979-10-16,66.056448,308.818862,0.000014,0.000287,274.048964,91.609603,12.414060,74408.686991,274.048964,274.048964,0.000301
1979-10-17,66.700591,301.360063,0.000010,0.000332,273.633162,92.569686,5.104796,74855.182343,273.633162,273.633162,0.000342
1979-10-18,127.597907,259.462177,0.000006,0.000000,272.454967,57.794226,6.653429,75259.986267,272.454967,272.454967,0.000007
1979-10-19,159.119438,222.122495,0.000001,0.000000,274.180631,31.011363,11.194147,75472.272369,274.180631,274.180631,0.000001
1979-10-20,169.464217,203.909957,0.000000,0.000000,279.601744,19.484227,3.251607,75539.940701,279.601744,279.601744,0.000000
1979-10-21,138.687593,248.710080,0.000000,0.000000,277.685058,31.406440,1.176840,75309.856778,277.685058,277.685058,0.000000
1979-10-22,63.993867,311.824472,0.000011,0.000130,274.418155,95.097771,2.116735,74837.941422,274.418155,274.418155,0.000141
1979-10-23,66.260824,297.321397,0.000075,0.000039,272.771787,93.843440,3.009665,74684.396796,272.771787,272.771787,0.000113
1979-10-24,110.713836,273.091678,0.000005,0.000004,273.256920,83.131977,2.167855,74877.984842,273.256920,273.256920,0.000009
1979-10-25,136.783625,250.147894,0.000001,0.000000,273.024508,53.560409,4.906910,74639.805334,273.024508,273.024508,0.000001
1979-10-26,117.461329,268.963413,0.000009,0.000001,272.125604,74.287921,8.714042,74143.584870,272.125604,272.125604,0.000009
1979-10-27,105.381769,286.140730,0.000017,0.000018,273.153495,86.432629,9.983063,74028.426940,273.153495,273.153495,0.000035
1979-10-28,62.090485,298.928444,0.000051,0.000028,272.922129,93.062316,5.202078,73845.939993,272.922129,272.922129,0.000079
1979-10-29,109.873727,265.136272,0.000022,0.000000,270.371660,87.647094,1.664372,73647.689627,270.371660,270.371660,0.000022
1979-10-30,97.903382,264.340227,0.000030,0.000000,268.093566,91.520820,5.420585,73701.469641,268.093566,268.093566,0.000030
1979-10-31,127.607493,229.735473,0.000002,0.000000,271.096427,48.132837,4.391818,74216.018338,271.096427,271.096427,0.000002
1979-11-01,86.024850,276.837024,0.000010,0.000000,272.011194,78.763288,5.326453,74613.459036,272.011194,272.011194,0.000011
1979-11-02,79.622264,264.131574,0.000040,0.000000,268.963696,79.709529,5.379720,74768.152325,268.963696,268.963696,0.000040
1979-11-03,117.076184,209.291447,0.000013,0.000000,265.114261,65.283698,6.653413,74900.924155,265.114261,265.114261,0.000013
1979-11-04,127.458848,226.338578,0.000000,0.000000,274.026728,29.356718,5.065825,74821.185367,274.026728,274.026728,0.000000
1979-11-05,79.716213,263.351199,0.000083,0.000001,269.675830,86.197132,7.422733,73831.055115,269.675830,269.675830,0.000084
1979-11-06,33.882228,278.168403,0.000334,0.000000,267.777348,95.532051,10.829103,73443.144633,267.777348,267.777348,0.000334
1979-11-07,64.396273,274.127096,0.000204,0.000001,270.187497,94.353451,12.635981,73737.517208,270.187497,270.187497,0.000205
1979-11-08,86.629988,258.929167,0.000024,0.000000,272.934131,70.366638,8.893134,74164.215151,272.934131,272.934131,0.000024
1979-11-09,61.191263,286.271109,0.000129,0.000001,271.790382,86.987534,5.605361,73997.018352,271.790382,271.790382,0.000130
1979-11-10,42.437484,258.068304,0.000276,0.000000,263.995430,91.943351,7.854786,73892.013414,263.995430,263.995430,0.000276
1979-11-11,87.487732,219.938042,0.000049,0.000000,260.271063,76.181968,10.062098,74080.007122,260.271063,260.271063,0.000049
1979-11-12,121.817419,187.250873,0.000003,0.000000,265.169607,36.738859,4.383231,73949.292280,265.169607,265.169607,0.000003
1979-11-13,75.420847,258.960544,0.000025,0.000000,267.091779,81.986212,7.139179,73707.441699,267.091779,267.091779,0.000025
1979-11-14,75.959077,266.747954,0.000077,0.000000,266.883669,89.974366,8.210742,73196.786632,266.883669,266.883669,0.000077
1979-11-15,33.527440,266.164445,0.000319,0.000000,265.659049,93.794932,3.645769,72364.803725,265.659049,265.659049,0.000319
1979-11-16,92.865098,217.304629,0.000050,0.000000,262.175705,84.535139,3.021034,72797.767648,262.175705,262.175705,0.000050
1979-11-17,101.912848,209.923798,0.000015,0.000000,265.016601,69.174770,2.388648,73522.706171,265.016601,265.016601,0.000015
1979-11-18,100.805692,221.897336,0.000037,0.000000,267.185794,52.050872,4.063287,73425.275929,267.185794,267.185794,0.000037
1979-11-19,69.582648,241.984582,0.000028,0.000000,262.911860,91.805001,8.512824,73643.434788,262.911860,262.911860,0.000028
1979-11-20,63.147382,255.637482,0.000026,0.000000,265.130964,88.670314,6.772224,73991.100477,265.130964,265.130964,0.000026
1979-11-21,81.863902,248.888474,0.000011,0.000000,266.698770,83.261226,4.401509,74415.702507,266.698770,266.698770,0.000011
1979-11-22,96.428794,210.175988,0.000000,0.000000,267.643533,56.630614,2.313925,74613.801176,267.643533,267.643533,0.000000
1979-11-23,99.111942,197.199792,0.000000,0.000000,270.077514,33.125599,1.942098,74538.714343,270.077514,270.077514,0.000000
1979-11-24,88.428942,208.075346,0.000000,0.000000,268.983789,37.774546,3.192070,74327.430821,268.983789,268.983789,0.000000
1979-11-25,98.421308,210.608222,0.000000,0.000000,269.905288,41.289777,4.259048,74855.337914,269.905288,269.905288,0.000000
1979-11-26,85.946958,256.431448,0.000000,0.000000,274.317148,44.001528,8.061884,75304.809946,274.317148,274.317148,0.000000
1979-11-27,42.346227,319.707936,0.000001,0.000090,274.449403,92.225242,12.988455,75291.395598,274.449403,274.449403,0.000090
1979-11-28,83.167569,248.681368,0.000000,0.000006,277.671754,35.628080,11.339437,75595.981987,277.671754,277.671754,0.000006
1979-11-29,93.514033,220.105250,0.000000,0.000000,281.467082,19.180360,5.494047,75790.519007,281.467082,281.467082,0.000000
1979-11-30,93.439638,207.974560,0.000000,0.000000,279.822309,16.186711,5.580111,75494.643554,279.822309,279.822309,0.000000
1979-12-01,61.554112,264.032884,0.000006,0.000000,272.095014,63.328453,10.891715,75172.508791,272.095014,272.095014,0.000007
